Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
0.24993	91631.28286	2817.21324	70.21100	-27554.34751
0.24916	91561.19699	2816.21324	70.08587	-27579.02214
0.24839	91491.23560	2815.21324	69.96139	-27603.58649
0.24762	91421.39805	2814.21324	69.83755	-27628.04119
0.24686	91351.68368	2813.21324	69.71436	-27652.38684
0.24610	91282.09188	2812.21324	69.59181	-27676.62404
0.24534	91212.62199	2811.21324	69.46989	-27700.75340
0.24458	91143.27339	2810.21324	69.34860	-27724.77550
0.24383	91074.04545	2809.21324	69.22794	-27748.69095
0.24308	91004.93755	2808.21324	69.10790	-27772.50034
0.24233	90935.94908	2807.21324	68.98848	-27796.20424
0.24159	90867.07941	2806.21324	68.86967	-27819.80323
0.24084	90798.32794	2805.21324	68.75147	-27843.29791
0.24011	90729.69406	2804.21324	68.63388	-27866.68883
0.23937	90661.17717	2803.21324	68.51689	-27889.97657
0.23864	90592.77667	2802.21324	68.40050	-27913.16170
0.23791	90524.49196	2801.21324	68.28471	-27936.24478
0.23718	90456.32246	2800.21324	68.16950	-27959.22636
0.23645	90388.26757	2799.21324	68.05489	-27982.10700
0.23573	90320.32671	2798.21324	67.94086	-28004.88726
0.23501	90252.49931	2797.21324	67.82740	-28027.56768
0.23430	90184.78478	2796.21324	67.71453	-28050.14881
0.23358	90117.18256	2795.21324	67.60222	-28072.63119
0.23287	90049.69207	2794.21324	67.49049	-28095.01535
0.23216	89982.31275	2793.21324	67.37932	-28117.30184
0.23146	89915.04404	2792.21324	67.26871	-28139.49117
0.23075	89847.88538	2791.21324	67.15866	-28161.58389
0.23005	89780.83621	2790.21324	67.04917	-28183.58051
0.22935	89713.89599	2789.21324	66.94022	-28205.48155
0.22866	89647.06417	2788.21324	66.83183	-28227.28754
0.22797	89580.34019	2787.21324	66.72397	-28248.99898
0.22728	89513.72353	2786.21324	66.61666	-28270.61639
0.22659	89447.21364	2785.21324	66.50989	-28292.14027
0.22590	89380.80999	2784.21324	66.40365	-28313.57113
0.22522	89314.51205	2783.21324	66.29794	-28334.90948
0.22454	89248.31929	2782.21324	66.19276	-28356.15580
0.22386	89182.23119	2781.21324	66.08810	-28377.31060
0.22319	89116.24722	2780.21324	65.98396	-28398.37436
0.22251	89050.36688	2779.21324	65.88035	-28419.34758
0.22184	88984.58964	2778.21324	65.77724	-28440.23074
0.22118	88918.91499	2777.21324	65.67465	-28461.02432
0.22051	88853.34243	2776.21324	65.57256	-28481.72881
0.21985	88787.87145	2775.21324	65.47098	-28502.34468
0.21919	88722.50155	2774.21324	65.36990	-28522.87240
0.21853	88657.23223	2773.21324	65.26932	-28543.31244
0.21787	88592.06299	2772.21324	65.16924	-28563.66528
0.21722	88526.99335	2771.21324	65.06964	-28583.93138
0.21657	88462.02281	2770.21324	64.97054	-28604.11119
0.21592	88397.15089	2769.21324	64.87192	-28624.20518
0.21528	88332.37710	2768.21324	64.77379	-28644.21381
0.21463	88267.70096	2767.21324	64.67614	-28664.13753
0.21399	88203.12201	2766.21324	64.57896	-28683.97678
0.21335	88138.63975	2765.21324	64.48226	-28703.73203
0.21271	88074.25372	2764.21324	64.38603	-28723.40370
0.21208	88009.96345	2763.21324	64.29027	-28742.99225
0.21145	87945.76848	2762.21324	64.19497	-28762.49811
0.21082	87881.66834	2761.21324	64.10014	-28781.92172
0.21019	87817.66258	2760.21324	64.00577	-28801.26352
0.20956	87753.75072	2759.21324	63.91185	-28820.52394
0.20894	87689.93233	2758.21324	63.81839	-28839.70339
0.20832	87626.20695	2757.21324	63.72538	-28858.80233
0.20770	87562.57413	2756.21324	63.63282	-28877.82115
0.20708	87499.03342	2755.21324	63.54071	-28896.76030
0.20647	87435.58438	2754.21324	63.44904	-28915.62017
0.20586	87372.22657	2753.21324	63.35781	-28934.40120
0.20525	87308.95955	2752.21324	63.26702	-28953.10379
0.20464	87245.78288	2751.21324	63.17667	-28971.72836
0.20403	87182.69614	2750.21324	63.08674	-28990.27531
0.20343	87119.69889	2749.21324	62.99725	-29008.74505
0.20283	87056.79070	2748.21324	62.90819	-29027.13798
0.20223	86993.97115	2747.21324	62.81955	-29045.45451
0.20163	86931.23982	2746.21324	62.73133	-29063.69503
0.20104	86868.59628	2745.21324	62.64354	-29081.85993
0.20044	86806.04013	2744.21324	62.55616	-29099.94962
0.19985	86743.57093	2743.21324	62.46919	-29117.96448
0.19926	86681.18829	2742.21324	62.38264	-29135.90490
0.19868	86618.89179	2741.21324	62.29650	-29153.77127
0.19809	86556.68103	2740.21324	62.21077	-29171.56397
0.19751	86494.55559	2739.21324	62.12544	-29189.28339
0.19693	86432.51508	2738.21324	62.04051	-29206.92990
0.19635	86370.55909	2737.21324	61.95599	-29224.50388
0.19577	86308.68723	2736.21324	61.87186	-29242.00571
0.19520	86246.89911	2735.21324	61.78813	-29259.43576
0.19463	86185.19432	2734.21324	61.70479	-29276.79440
0.19406	86123.57248	2733.21324	61.62184	-29294.08200
0.19349	86062.03320	2732.21324	61.53928	-29311.29893
0.19292	86000.57609	2731.21324	61.45711	-29328.44554
0.19236	85939.20077	2730.21324	61.37532	-29345.52221
0.19179	85877.90686	2729.21324	61.29391	-29362.52928
0.19123	85816.69397	2728.21324	61.21288	-29379.46712
0.19067	85755.56174	2727.21324	61.13223	-29396.33609
0.19012	85694.50978	2726.21324	61.05196	-29413.13653
0.18956	85633.53773	2725.21324	60.97205	-29429.86880
0.18901	85572.64521	2724.21324	60.89252	-29446.53325
0.18846	85511.83185	2723.21324	60.81336	-29463.13022
0.18791	85451.09728	2722.21324	60.73456	-29479.66007
0.18736	85390.44116	2721.21324	60.65613	-29496.12312
0.18681	85329.86310	2720.21324	60.57806	-29512.51973
0.18627	85269.36276	2719.21324	60.50034	-29528.85023
